epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.073,1.66812,2.82434,1.53309,0.69797,0.53184,0.61885,0.3449,1.52983,2.24813,1.52235,0.00023331,0.00023331,0.00023331
2,406.086,1.50329,1.62061,1.36369,0.67441,0.70894,0.69483,0.38271,1.55004,1.74471,1.47205,0.000461965,0.000461965,0.000461965
3,622.922,1.5054,1.5356,1.39398,0.41689,0.32648,0.37768,0.20058,1.83789,2.78613,1.78289,0.000674488,0.000674488,0.000674488
4,827.867,1.53143,1.52875,1.47787,0.6107,0.57021,0.62783,0.33476,1.64054,1.98945,1.72564,0.00087088,0.00087088,0.00087088
5,1027.1,1.51607,1.45345,1.42818,0.57872,0.61388,0.59616,0.31005,1.62359,4.26115,1.75822,0.000964348,0.000964348,0.000964348
6,1210.35,1.54209,1.38332,1.43963,0.5908,0.65056,0.61538,0.31582,1.7032,1.91238,1.64541,0.000927685,0.000927685,0.000927685
7,1377.68,1.50556,1.37171,1.43989,0.55058,0.64942,0.55658,0.31492,1.6059,2.28172,1.62365,0.000891022,0.000891022,0.000891022
8,1548.5,1.48668,1.29092,1.39528,0.6957,0.66041,0.68418,0.36086,1.71326,1.3837,1.69357,0.000854359,0.000854359,0.000854359
9,1721.07,1.4675,1.2537,1.3874,0.73897,0.64739,0.71747,0.36233,1.62556,1.56394,1.61021,0.000817696,0.000817696,0.000817696
10,1893.06,1.48563,1.27892,1.41988,0.69471,0.70775,0.72923,0.39704,1.63,1.33039,1.5538,0.000781033,0.000781033,0.000781033
11,5021.69,1.37161,1.16602,1.3361,0.77719,0.73211,0.74575,0.41992,1.61447,1.22181,1.55283,0.00074437,0.00074437,0.00074437
12,5191.78,1.4168,1.17882,1.36556,0.75534,0.77811,0.76132,0.4349,1.51439,1.11854,1.48244,0.000707707,0.000707707,0.000707707
13,5368.69,1.37556,1.09618,1.32223,0.77839,0.76306,0.7641,0.42961,1.51243,1.12926,1.47931,0.000671044,0.000671044,0.000671044
14,5541.09,1.35496,1.06854,1.32289,0.80365,0.80444,0.8057,0.47375,1.47998,1.03279,1.44233,0.000634381,0.000634381,0.000634381
15,5713.83,1.34025,1.05775,1.31502,0.89072,0.77762,0.82922,0.49215,1.43378,0.99481,1.42198,0.000597718,0.000597718,0.000597718
16,5885.92,1.29913,1.0249,1.28579,0.88137,0.80396,0.82725,0.47625,1.48423,0.95468,1.45849,0.000561055,0.000561055,0.000561055
17,7694.22,1.27483,0.98801,1.28226,0.83342,0.76678,0.8168,0.48755,1.44099,0.9787,1.4108,0.000524392,0.000524392,0.000524392
18,7881.25,1.25688,0.93005,1.25696,0.86188,0.76308,0.81717,0.49478,1.48138,0.97406,1.42798,0.000487729,0.000487729,0.000487729
19,8069.25,1.24373,0.97264,1.2925,0.84993,0.77075,0.80736,0.48758,1.39444,0.95096,1.38449,0.000451066,0.000451066,0.000451066
20,8256.52,1.21823,0.91635,1.26267,0.88143,0.7937,0.82982,0.49318,1.39543,0.90895,1.37246,0.000414403,0.000414403,0.000414403
21,8442.98,1.2446,0.87785,1.29428,0.87124,0.81936,0.84762,0.50103,1.44534,0.95135,1.44257,0.00037774,0.00037774,0.00037774
22,8630.85,1.23067,0.83906,1.27746,0.86692,0.81716,0.84532,0.52539,1.36015,0.86475,1.34303,0.000341077,0.000341077,0.000341077
23,8822.59,1.1971,0.82157,1.23023,0.84119,0.82033,0.84838,0.52931,1.36464,0.84944,1.36728,0.000304414,0.000304414,0.000304414
24,9023.65,1.15211,0.78085,1.22466,0.86494,0.79345,0.84184,0.53203,1.34744,0.81571,1.34382,0.000267751,0.000267751,0.000267751
25,9224.19,1.17158,0.78648,1.23706,0.88769,0.8175,0.85009,0.53845,1.33323,0.80318,1.34398,0.000231088,0.000231088,0.000231088
26,9423.94,1.1185,0.73699,1.21789,0.87517,0.83515,0.84768,0.55327,1.31608,0.77181,1.3387,0.000194425,0.000194425,0.000194425
27,9624.58,1.12015,0.72287,1.22385,0.89994,0.83672,0.85659,0.547,1.30835,0.76855,1.32339,0.000157762,0.000157762,0.000157762
28,9824.62,1.09624,0.71196,1.19546,0.90709,0.82357,0.85234,0.54812,1.29954,0.7795,1.31563,0.000121099,0.000121099,0.000121099
29,10002.7,1.03588,0.69468,1.17323,0.91007,0.84084,0.87043,0.55725,1.28168,0.77016,1.30821,8.4436e-05,8.4436e-05,8.4436e-05
30,10169.7,1.05237,0.69022,1.18421,0.90589,0.8293,0.86706,0.56778,1.26484,0.75564,1.30068,4.7773e-05,4.7773e-05,4.7773e-05
